ORGANISM_NAME,ORGANISM_ID,STRAIN_IDS,SOURCE,STRAIN_IDENTIFICATION,COLLECT_DATE,COLLECT_COUNTRY,COLLECT_REGION,COLLECT_SPECIE,COLLECT_TISSUE,DRUG_NAME,DRUG_CLASS,DRUG_SUBCLASS,ANTIMICRO,ANTIMICRO_CLASS,BMD_MIC,MIC_UNIT,BMD_BP
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ampicillin,Beta-lactam,Aminopenicillin,Bacteria,Penicillin,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Azithromycin,Transpeptidation,Macrolide,Bacteria,Macrolide,64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Aztreonam,Beta-lactam,Monobactam,Bacteria,Monobactam,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefalotin,Beta-lactam,Cephalosporin (1st),Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefazolin,Beta-lactam,Cephalosporin (1st); Non-extended spectrum,Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefepime,Beta-lactam,Cephalosporin (4th); Extended spectrum antipseudomonal ,Bacteria,Cephalosporin,>64,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefotaxime,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Cefoxitin,Beta-lactam,Cephalosporin (2nd),Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftaroline,Beta-lactam,Cephalosporin (5th); anti-MRSA,Bacteria,Cephalosporin,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ceftriaxone,Beta-lactam,Cephalosporin (3rd); Extended spectrum,Bacteria,Cephalosporin,>128,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Chloramphenicol,Peptidyl transferase,Amphenicol,Bacteria,Phenicol,>64,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ciprofloxacin,Quinolone,Fluoroquinolone (2nd); antipseudomonal,Bacteria,Fluoroquinolone,32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Doripenem,Beta-lactam,Carbapenem; Antipseudomonal,Bacteria,Carbapenem,>32,ug/mL,R
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Ertapenem,Beta-lactam,Carbapenem,Bacteria,Carbapenem,>32,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Fosfomycin,NAM synthesis,Phosphonic Acid,Bacteria,Phosphonic Acid,256,ug/mL,
Acinetobacter baumannii,Ab-0533-TH,K0130-1-B-AB,"Mahidol University (Bangkok, Thailand)",Collaborator: Acinetobacter baumannii (Biochemical),2020-06-26,Thailand,Bangkok,Human,Blood,Gentamicin,Aminoglycoside,Micromonospora,Bacteria,Aminoglycoside,32,ug/mL,R
